refdes, device, footprint, value, comment, documentation, man-part-num, model, netname, symversion
C100., CAPACITOR, 0402, 0.1 uF, , , 885012205037, , , 0.1
C101., CAPACITOR, 0402, 0.1 uF, , , 885012205037, , , 0.1
C102., CAPACITOR, 0402, 0.1 uF, , , 885012205037, , , 0.1
C103., CAPACITOR, 0402, 0.1 uF, , , 885012205037, , , 0.1
C104., CAPACITOR, 0402, 0.1 uF, , , 885012205037, , , 0.1
C105., CAPACITOR, 0402, 0.1 uF, , , 885012205037, , , 0.1
C106., CAPACITOR, 0402, 0.1 uF, , , 885012205037, , , 0.1
C107., CAPACITOR, 0603, 1 nF, , , 885012006029, , , 0.1
C108., CAPACITOR, 0603, 1 nF, , , 885012006029, , , 0.1
C109., CAPACITOR, 0402, 10 pF, , , 885012005055, , , 0.1
C110., CAPACITOR, 0402, 0.1 uF, , , 530L104KT16T, , , 0.1
C111., CAPACITOR, 0402, 0.1 uF, , , 885012205037, , , 0.1
C112., CAPACITOR, 0402, 22 pF, , , 885012005057, , , 0.1
C113., CAPACITOR, 0805, 1500 pF, , , 885012007041, , , 0.1
C114., CAPACITOR, 0603, 3300 pF, , , 885012006016, , , 0.1
C115., POLARIZED_CAPACITOR, 1206, .056 uF, Mouser recommends the 'L' version of the part, , GRM31C5C1H563JA01L, , , 0.1
C116., CAPACITOR, 0402, 10 pF, , , 885012005055, , , 0.1
C117., CAPACITOR, 0402, 0.1 uF, , , 885012205037, , , 0.1
C118., CAPACITOR, 0402, 10 pF, , , 885012005055, , , 0.1
C119., CAPACITOR, 0402, 0.1 uF, , , 885012205037, , , 0.1
C120., CAPACITOR, 0402, 10 pF, , , 885012005055, , , 0.1
C121., CAPACITOR, 0402, 0.1 uF, , , 885012205037, , , 0.1
C125., CAPACITOR, 0402, 0.1 uF, , , 885012205037, , , 0.1
C126., CAPACITOR, 0402, 0.1 uF, , , 530L104KT16T, , , 0.1
C200., CAPACITOR, 0402, 0.1 uF, , , 885012205037, , , 0.1
C201., CAPACITOR, 0402, 0.01 uF, , , 885012205031, , , 0.1
C202., CAPACITOR, 0402, 22 pF, , , 885012005057, , , 0.1
C203., CAPACITOR, 0402, 0.01 uF, , , 885012205031, , , 0.1
C204., CAPACITOR, 0402, 0.01 uF, , , 885012205031, , , 0.1
C205., CAPACITOR, 0603, !BOM, , , , , , 0.1
C206., POLARIZED_CAPACITOR, 0402, 0.1 uF, , , 885012205037, , , 0.1
C207., POLARIZED_CAPACITOR, 0402, 22 pF, , , 885012005057, , , 0.1
C208., CAPACITOR, 0402, 0.01 uF, , , 885012205031, , , 0.1
C209., POLARIZED_CAPACITOR, 0402, 0.01 uF, , , 885012205031, , , 0.1
C210., POLARIZED_CAPACITOR, 0402, 22 pF, , , 885012005057, , , 0.1
C211., POLARIZED_CAPACITOR, 0402, 22 pF, , , 885012005057, , , 0.1
C212., POLARIZED_CAPACITOR, 0402, 0.01 uF, , , 885012205031, , , 0.1
C213., CAPACITOR, 0402, 8.2 pF, , , GCM1555C1H8R2BA16D, , , 0.1
C214., CAPACITOR, 0402, 8.2 pF, , , GCM1555C1H8R2BA16D, , , 0.1
C216., CAPACITOR, 0402, 1.8 pF, , , GCM1555C1H1R8CA16D, , , 0.1
C217., POLARIZED_CAPACITOR, 0402, 22 pF, , , 885012005057, , , 0.1
C218., CAPACITOR, 0402, 1.8 pF, , , GCM1555C1H1R8CA16D, , , 0.1
C219., CAPACITOR, 0603, !BOM, , , , , , 0.1
C220., CAPACITOR, 0402, 0.1 uF, , , 885012205037, , , 0.1
C221., CAPACITOR, 0402, 820 pF, , , GCM1555C1H821JA16D, , , 0.1
C222., CAPACITOR, 0603, 1.0 uF, , , 885012206052, , , 0.1
C223., CAPACITOR, 0603, 1.0 uF, , , 885012206052, , , 0.1
C224., CAPACITOR, 0402, 100 pF, , , 885012205019, , , 0.1
C225., CAPACITOR, 0603, 1.0 uF, , , 885012206052, , , 0.1
C226., CAPACITOR, 0603, 0.01 uF, , , GRM1885C1H103JA01J, , , 0.1
C227., CAPACITOR, 0402, 100 pF, , , 885012205019, , , 0.1
C228., CAPACITOR, 0603, 0.01 uF, , , GRM1885C1H103JA01J, , , 0.1
C229., CAPACITOR, 0402, 22 pF, , , 885012005057, , , 0.1
C230., CAPACITOR, 0402, 100 pF, , , 885012205019, , , 0.1
C231., CAPACITOR, 0603, 0.01 uF, , , GRM1885C1H103JA01J, , , 0.1
C232., CAPACITOR, 0402, 22 pF, , , 885012005057, , , 0.1
C233., CAPACITOR, 0603, 1.0 uF, , , 885012206052, , , 0.1
C234., CAPACITOR, 0603, 1.0 uF, , , 885012206052, , , 0.1
C235., CAPACITOR, 0603, 1 nF, , , 885012006029, , , 0.1
C236., CAPACITOR, 0402, 100 pF, , , 885012205019, , , 0.1
C237., CAPACITOR, 0603, 0.01 uF, , , GRM1885C1H103JA01J, , , 0.1
C238., CAPACITOR, 0402, 100 pF, , , 885012205019, , , 0.1
C239., CAPACITOR, 0603, 0.01 uF, , , GRM1885C1H103JA01J, , , 0.1
C240., CAPACITOR, 0805, 0.012 uF, , , GRM2195C1H123JA01D, , , 0.1
C241., CAPACITOR, 0402, 0.1 uF, , , 885012205037, , , 0.1
C242., CAPACITOR, 0402, 100 pF, , , 885012205019, , , 0.1
C243., CAPACITOR, 0402, 0.1 uF, , , 885012205037, , , 0.1
C244., CAPACITOR, 0402, 6.8 pF, , , GCM1555C1H6R8CA16D, , , 0.1
C300., CAPACITOR, 0402, 0.01 uF, , , 885012205031, , , 0.1
C301., CAPACITOR, 0402, 0.01 uF, , , 885012205031, , , 0.1
C302., POLARIZED_CAPACITOR, 0402, 0.1 uF, , , 885012205037, , , 0.1
C303., POLARIZED_CAPACITOR, 0402, 0.01 uF, , , 885012205031, , , 0.1
