refdes:value:man-part-num:qty
U100:unknown:ADF4356BCPZ:1
U102:unknown:SIM-83+:1
U103:unknown:PE43711:1
FL100,FL101:unknown:LFCN3000D+:2
L101:22 nH:LQW18AS22NJ00D:1
L100:3.3 nH:0402CS-3N3XJLU:1
R103:1.5 K:CRCW04021K50FKED:1
C115:.056 uF:GRM31C5C1H563JA01L:1
C114:3300 pF:885012006016:1
C113:1500 pF:885012007041:1
C110,C123,C126,C127:0.1 uF:530L104KT16T:4
C109,C116,C118,C120:10 pF:885012005055:4
J100:unknown:619540-1:1
FL202,FL203:3.6 GHz:3600BP15M600E:2
L201:10 nH:0402CS-10NXJLU:1
R105,R200:50 R:CRCW080550R0FKTA:2
C112,C124,C202,C207,C210,C211,C217,C229,C232:22 pF:885012005057:9
R204,R205,R208,R209:300 R:CRCW0402300RFKED:4
R207:36 R:CRCW040236R0JNED:1
FL200,FL201:unknown:B39321B3741H110:2
L203,L204,L205,L206:68 nH:0603CS-68NXJLU:4
C213,C214,C216,C218:1.8 pF:GCM1555C1H1R8CA16D:4
L200,L207:36 nH:0402CS-36NXJLU:2
C205,C215,C219:!BOM:unknown:3
R206:100 R:CRCW0402100RJNED:1
T200:unknown:TC1-1-43X+:1
R211,R314:5.1 K:CRCW04025K10FKEDC:2
C221,C333:820 pF:GCM1555C1H821JA16D:2
R210,R313:240 R:CRCW0402240RFKEDC:2
C107,C108,C235,C346:1 nF:885012006029:4
R219,R322:90.9 R:CRCW040290R9FKEDC:2
C240,C353:0.012 uF:GRM2195C1H123JA01D:2
R216,R319:30.1 R:CRCW040230R1FKED:2
R104,R109,R113,R201,R212,R213,R315,R316:51 R:CRCW080551R0FKEA:8
C226,C228,C231,C237,C239,C339,C341,C344,C350,C352:0.01 uF:GRM1885C1H103JA01J:10
C222,C223,C225,C233,C234,C334,C335,C338,C347,C348,C355,C356,C359,C360:1.0 uF:885012206052:14
R303:0 R:CRCW06030000Z0EBC:1
U200,U303:unknown:LTC5562IUC#TRMPBF:2
L202,L208,L302,L304:100 nH:0603CS-R10XJLU:4
U101,U104,U201,U202,U300,U304:unknown:ERA-2SM+:6
R202,R203,R300,R301,R307,R309:110 R:CRCW1206110RFKEA:6
FL300,FL301:45 MHz:ECS-75SMF45A7.5B:2
C328,C329:20 pF:GCM1555C1H200JA16D:2
L301,L303,L305,L306,L308:390 nH:0805CS-391XJLB:5
C317,C321,C322,C323:30 pF:GCM1555C1H300JA16D:4
U301,U305:unknown:AD8307ARZ:2
L300:82 nH:0805CS-820XJLB:1
C306:4.7 pF:GCM1555C1H4R7CA16D:1
C318:47 pF:GCM1555C1H470JA16D:1
L307:680 nH:0805CS-681XJLB:1
C308:5 pF:GCM1555C1H5R0CA16D:1
C331:39 pF:GCM1555C1H390JA16D:1
R302,R308:4.7 R:CRCW04024R70JNED:2
C309,C320,C325,C326,C327,C332,R304,R305:SAT:unknown:8
U302,U306:unknown:AD8605ARTZ-R2:2
C100,C101,C102,C103,C104,C105,C106,C111,C117,C119,C121,C122,C125,C200,C206,C220,C241,C243,C302,C305,C307,C310,C312,C313,C314,C315,C330,C336,C354,C358:0.1 uF:885012205037:30
T201,T300:unknown:WBC9-1LB:2
C224,C227,C230,C236,C238,C242,C337,C340,C342,C343,C345,C349,C351,C357:100 pF:885012205019:14
U204,U308,U309,U310:unknown:AP7353-33CV4-7:4
J400,J401,J402,Sh401,Sh402,Sh403,Sh404,Sh405,TP200,TP300,U203,U307:unknown:unknown:12
U500:60 MHz:ASE-60.000MHZ-LC-T:1
C201,C203,C204,C208,C209,C212,C300,C301,C303,C304,C311,C316,C319,C324,C500,C501:0.01 uF:885012205031:16
U501:100 MHz:ASEM1-100.000MHZ-L-C-T:1
R107,R108,R217,R218,R320,R321,R400,R501,R503:1.5 K:CRCW04021K50FKEDC:9
R100,R101,R102,R106,R110,R111,R112,R214,R215,R220,R306,R311,R312,R317,R318,R401,R500,R502:1 K:CRCW04021K00FKEDC:18
