refdes	value	man-part-num	
R502	1 K	CRCW04021K00FKEDC	
R500	1 K	CRCW04021K00FKEDC	
R503	1.5 K	CRCW04021K50FKEDC	
R501	1.5 K	CRCW04021K50FKEDC	
U501	100 MHz	ASEM1-100.000MHZ-L-C-T	
C501	0.01 uF	885012205031	
U500	60 MHz	ASE-60.000MHZ-LC-T	
C500	0.01 uF	885012205031	
J400	unknown	unknown	
Sh401	unknown	unknown	
Sh402	unknown	unknown	
Sh405	unknown	unknown	
Sh404	unknown	unknown	
Sh403	unknown	unknown	
J402	unknown	unknown	
R401	1 K	CRCW04021K00FKEDC	
R400	1.5 K	CRCW04021K50FKEDC	
J401	unknown	unknown	
TP300	unknown	unknown	
U310	unknown	AP7353-33CV4-7	
U309	unknown	AP7353-33CV4-7	
U308	unknown	AP7353-33CV4-7	
R312	1 K	CRCW04021K00FKEDC	
C345	100 pF	885012205019	
C342	100 pF	885012205019	
U307	unknown	MAX2871ETJ+	
T300	unknown	WBC9-1LB	
C336	0.1 uF	885012205037	
C313	0.1 uF	885012205037	
U306	unknown	AD8605ARTZ-R2	
U302	unknown	AD8605ARTZ-R2	
C309	SAT	unknown	
C332	SAT	unknown	
R311	1 K	CRCW04021K00FKEDC	
R306	1 K	CRCW04021K00FKEDC	
C305	0.1 uF	885012205037	
C302	0.1 uF	885012205037	
R302	4.7 R	CRCW04024R70JNED	
C315	0.1 uF	885012205037	
C314	0.1 uF	885012205037	
R308	4.7 R	CRCW04024R70JNED	
C331	39 pF	GCM1555C1H390JA16D	
C308	5 pF	GCM1555C1H5R0CA16D	
L307	680 nH	0805CS-681XJLB	
C318	47 pF	GCM1555C1H470JA16D	
C306	4.7 pF	GCM1555C1H4R7CA16D	
L300	82 nH	0805CS-820XJLB	
U305	unknown	AD8307ARZ	
C317	30 pF	GCM1555C1H300JA16D	
C325	SAT	unknown	
L303	390 nH	0805CS-391XJLB	
C323	30 pF	GCM1555C1H300JA16D	
C327	SAT	unknown	
C328	20 pF	GCM1555C1H200JA16D	
L305	390 nH	0805CS-391XJLB	
FL300	45 MHz	ECS-75SMF45A7.5B	
C320	SAT	unknown	
C321	30 pF	GCM1555C1H300JA16D	
L308	390 nH	0805CS-391XJLB	
C329	20 pF	GCM1555C1H200JA16D	
C326	SAT	unknown	
L306	390 nH	0805CS-391XJLB	
FL301	45 MHz	ECS-75SMF45A7.5B	
C310	0.1 uF	885012205037	
C307	0.1 uF	885012205037	
R307	110 R	CRCW1206110RFKEA	
R309	110 R	CRCW1206110RFKEA	
L301	390 nH	0805CS-391XJLB	
C322	30 pF	GCM1555C1H300JA16D	
U304	unknown	ERA-2SM+	
C330	0.1 uF	885012205037	
L302	100 nH	0603CS-R10XJLU	
C319	0.01 uF	885012205031	
L304	100 nH	0603CS-R10XJLU	
C312	0.1 uF	885012205037	
C311	0.01 uF	885012205031	
C324	0.01 uF	885012205031	
U303	unknown	LTC5562IUC#TRMPBF	
C316	0.01 uF	885012205031	
C301	0.01 uF	885012205031	
R305	SAT	unknown	
R303	0 R	CRCW06030000Z0EBC	
R304	SAT	unknown	
C304	0.01 uF	885012205031	
R301	110 R	CRCW1206110RFKEA	
R300	110 R	CRCW1206110RFKEA	
C303	0.01 uF	885012205031	
C300	0.01 uF	885012205031	
U300	unknown	ERA-2SM+	
U301	unknown	AD8307ARZ	
C334	1.0 uF	885012206052	
C338	1.0 uF	885012206052	
C335	1.0 uF	885012206052	
C348	1.0 uF	885012206052	
C347	1.0 uF	885012206052	
C341	0.01 uF	GRM1885C1H103JA01J	
C340	100 pF	885012205019	
C350	0.01 uF	GRM1885C1H103JA01J	
C349	100 pF	885012205019	
R316	51 R	CRCW080551R0FKEA	
R315	51 R	CRCW080551R0FKEA	
C358	0.1 uF	885012205037	
C343	100 pF	885012205019	
C352	0.01 uF	GRM1885C1H103JA01J	
C339	0.01 uF	GRM1885C1H103JA01J	
C344	0.01 uF	GRM1885C1H103JA01J	
R319	30.1 R	CRCW040230R1FKED	
C353	0.012 uF	GRM2195C1H123JA01D	
C354	0.1 uF	885012205037	
R322	90.9 R	CRCW040290R9FKEDC	
C357	100 pF	885012205019	
C351	100 pF	885012205019	
C346	1 nF	885012006029	
R313	240 R	CRCW0402240RFKEDC	
C333	820 pF	GCM1555C1H821JA16D	
R317	1 K	CRCW04021K00FKEDC	
R321	1.5 K	CRCW04021K50FKEDC	
R318	1 K	CRCW04021K00FKEDC	
R320	1.5 K	CRCW04021K50FKEDC	
R314	5.1 K	CRCW04025K10FKEDC	
C337	100 pF	885012205019	
C360	1.0 uF	885012206052	
C359	1.0 uF	885012206052	
C356	1.0 uF	885012206052	
C355	1.0 uF	885012206052	
TP200	unknown	unknown	
C234	1.0 uF	885012206052	
C233	1.0 uF	885012206052	
U204	unknown	AP7353-33CV4-7	
T201	unknown	WBC9-1LB	
T200	unknown	TC1-1-43X+	
R220	1 K	CRCW04021K00FKEDC	
R206	100 R	CRCW0402100RJNED	
C205	!BOM	unknown	
C219	!BOM	unknown	
C215	!BOM	unknown	
L207	36 nH	0402CS-36NXJLU	
L200	36 nH	0402CS-36NXJLU	
C214	1.8 pF	GCM1555C1H1R8CA16D	
L206	68 nH	0603CS-68NXJLU	
C201	0.01 uF	885012205031	
C204	0.01 uF	885012205031	
R202	110 R	CRCW1206110RFKEA	
C213	1.8 pF	GCM1555C1H1R8CA16D	
C208	0.01 uF	885012205031	
L205	68 nH	0603CS-68NXJLU	
R203	110 R	CRCW1206110RFKEA	
C209	0.01 uF	885012205031	
U201	unknown	ERA-2SM+	
L204	68 nH	0603CS-68NXJLU	
C218	1.8 pF	GCM1555C1H1R8CA16D	
L203	68 nH	0603CS-68NXJLU	
C216	1.8 pF	GCM1555C1H1R8CA16D	
FL201	unknown	B39321B3741H110	
FL200	unknown	B39321B3741H110	
R207	36 R	CRCW040236R0JNED	
R209	300 R	CRCW0402300RFKED	
R208	300 R	CRCW0402300RFKED	
R205	300 R	CRCW0402300RFKED	
R204	300 R	CRCW0402300RFKED	
C210	22 pF	885012005057	
C211	22 pF	885012005057	
C202	22 pF	885012005057	
C200	0.1 uF	885012205037	
R201	51 R	CRCW080551R0FKEA	
R200	50 R	CRCW080550R0FKTA	
L201	10 nH	0402CS-10NXJLU	
U202	unknown	ERA-2SM+	
FL203	3.6 GHz	3600BP15M600E	
FL202	3.6 GHz	3600BP15M600E	
C220	0.1 uF	885012205037	
C206	0.1 uF	885012205037	
C212	0.01 uF	885012205031	
C203	0.01 uF	885012205031	
L208	100 nH	0603CS-R10XJLU	
L202	100 nH	0603CS-R10XJLU	
U200	unknown	LTC5562IUC#TRMPBF	
C217	22 pF	885012005057	
C207	22 pF	885012005057	
U203	unknown	MAX2871ETJ+	
C222	1.0 uF	885012206052	
C225	1.0 uF	885012206052	
C223	1.0 uF	885012206052	
C229	22 pF	885012005057	
C228	0.01 uF	GRM1885C1H103JA01J	
C227	100 pF	885012205019	
C237	0.01 uF	GRM1885C1H103JA01J	
C236	100 pF	885012205019	
R213	51 R	CRCW080551R0FKEA	
R212	51 R	CRCW080551R0FKEA	
C243	0.1 uF	885012205037	
C230	100 pF	885012205019	
C239	0.01 uF	GRM1885C1H103JA01J	
C226	0.01 uF	GRM1885C1H103JA01J	
C231	0.01 uF	GRM1885C1H103JA01J	
R216	30.1 R	CRCW040230R1FKED	
C240	0.012 uF	GRM2195C1H123JA01D	
C241	0.1 uF	885012205037	
R219	90.9 R	CRCW040290R9FKEDC	
C242	100 pF	885012205019	
C238	100 pF	885012205019	
C235	1 nF	885012006029	
C232	22 pF	885012005057	
R210	240 R	CRCW0402240RFKEDC	
C221	820 pF	GCM1555C1H821JA16D	
R214	1 K	CRCW04021K00FKEDC	
R218	1.5 K	CRCW04021K50FKEDC	
R215	1 K	CRCW04021K00FKEDC	
R217	1.5 K	CRCW04021K50FKEDC	
R211	5.1 K	CRCW04025K10FKEDC	
C224	100 pF	885012205019	
R107	1.5 K	CRCW04021K50FKEDC	
R100	1 K	CRCW04021K00FKEDC	
C108	1 nF	885012006029	
J100	unknown	619540-1	
C101	0.1 uF	885012205037	
C100	0.1 uF	885012205037	
C107	1 nF	885012006029	
C109	10 pF	885012005055	
C110	0.1 uF	530L104KT16T	
