.START
..refdes	device	value	footprint	quantity
C100	CAPACITOR	0.1 uF	0402	1
C101	CAPACITOR	0.1 uF	0402	1
C102	CAPACITOR	0.1 uF	0402	1
C103	CAPACITOR	0.1 uF	0402	1
C104	CAPACITOR	0.1 uF	0402	1
C105	CAPACITOR	0.1 uF	0402	1
C106	CAPACITOR	0.1 uF	0402	1
C107	CAPACITOR	1 nF	0603	1
C108	CAPACITOR	1 nF	0603	1
C109	CAPACITOR	10 pF	0402	1
C110	CAPACITOR	0.1 uF	0402	1
C111	CAPACITOR	0.1 uF	0402	1
C112	CAPACITOR	22 pF	0402	1
C113	CAPACITOR	1500 pF	0805	1
C114	CAPACITOR	3300 pF	0603	1
C115	POLARIZED_CAPACITOR	.056 uF	0402	1
C116	CAPACITOR	10 pF	0402	1
C117	CAPACITOR	0.1 uF	0402	1
C118	CAPACITOR	10 pF	0402	1
C119	CAPACITOR	0.1 uF	0402	1
C120	CAPACITOR	10 pF	0402	1
C121	CAPACITOR	0.1 uF	0402	1
C122	CAPACITOR	0.1 uF	0402	1
C123	CAPACITOR	0.1 uF	0402	1
C124	CAPACITOR	22 pF	0402	1
C125	CAPACITOR	0.1 uF	0402	1
C126	CAPACITOR	0.1 uF	0402	1
C127	CAPACITOR	0.1 uF	0402	1
C200	CAPACITOR	0.1 uF	0402	1
C201	CAPACITOR	0.01 uF	0402	1
C202	CAPACITOR	22 pF	0402	1
C203	CAPACITOR	0.01 uF	0402	1
C204	CAPACITOR	0.01 uF	0402	1
C205	CAPACITOR	!BOM	0603	1
C206	POLARIZED_CAPACITOR	0.1 uF	0402	1
C207	POLARIZED_CAPACITOR	22 pF	0402	1
C208	CAPACITOR	0.01 uF	0402	1
C209	POLARIZED_CAPACITOR	0.01 uF	0402	1
C210	POLARIZED_CAPACITOR	22 pF	0402	1
C211	POLARIZED_CAPACITOR	22 pF	0402	1
C212	POLARIZED_CAPACITOR	0.01 uF	0402	1
C213	CAPACITOR	1.8 pF	0402	1
C214	CAPACITOR	1.8 pF	0402	1
C215	CAPACITOR	!BOM	0603	1
C216	CAPACITOR	1.8 pF	0402	1
C217	POLARIZED_CAPACITOR	22 pF	0402	1
C218	CAPACITOR	1.8 pF	0402	1
C219	CAPACITOR	!BOM	0603	1
C220	CAPACITOR	0.1 uF	0402	1
C221	CAPACITOR	820 pF	0402	1
C222	CAPACITOR	1.0 uF	0603	1
C223	CAPACITOR	1.0 uF	0603	1
C224	CAPACITOR	100 pF	0402	1
C225	CAPACITOR	1.0 uF	0603	1
C226	CAPACITOR	0.01 uF	0603	1
C227	CAPACITOR	100 pF	0402	1
C228	CAPACITOR	0.01 uF	0603	1
C229	CAPACITOR	22 pF	0402	1
C230	CAPACITOR	100 pF	0402	1
C231	CAPACITOR	0.01 uF	0603	1
C232	CAPACITOR	22 pF	0402	1
C233	CAPACITOR	1.0 uF	0603	1
C234	CAPACITOR	1.0 uF	0603	1
C235	CAPACITOR	1 nF	0603	1
C236	CAPACITOR	100 pF	0402	1
C237	CAPACITOR	0.01 uF	0603	1
C238	CAPACITOR	100 pF	0402	1
C239	CAPACITOR	0.01 uF	0603	1
C240	CAPACITOR	0.012 uF	0805	1
C241	CAPACITOR	0.1 uF	0402	1
C242	CAPACITOR	100 pF	0402	1
C243	CAPACITOR	0.1 uF	0402	1
C300	CAPACITOR	0.01 uF	0402	1
C301	CAPACITOR	0.01 uF	0402	1
C302	POLARIZED_CAPACITOR	0.1 uF	0402	1
C303	POLARIZED_CAPACITOR	0.01 uF	0402	1
C304	POLARIZED_CAPACITOR	0.01 uF	0402	1
