refdes:value:man-part-num:qty
U100:unknown:ADF4356BCPZ:1
U102:unknown:SIM-83+:1
U103:unknown:PE43711:1
FL100,FL101:unknown:LFCN3000D+:2
L101:22 nH:LQW18AS22NJ00D:1
L100:3.3 nH:0402CS-3N3XJLU:1
C110,C123,C126,C127:0.1 uF:530L104KT16T:4
J100:unknown:619540-1:1
FL202,FL203:3.6 GHz:3600BP15M600E:2
L201:10 nH:0402CS-10NXJLU:1
R105,R200:50 R:CRCW080550R0FKTA:2
R104,R109,R113,R201:51 R:CRCW080551R0FKEA:4
R204,R205,R208,R209:300 R:CRCW0402300RFKED:4
R207:36 R:CRCW040236R0JNED:1
FL200,FL201:unknown:B39321B3741H110:2
L203,L204,L205,L206:68 nH:0603CS-68NXJLU:4
C213,C214,C216,C218:1.8 pF:GCM1555C1H1R8CA16D:4
L200,L207:36 nH:0402CS-36NXJLU:2
R206:100 R:CRCW0402100RJNED:1
T200:unknown:TC1-1-43X+:1
R303:0 R:unknown:1
U200,U303:unknown:LTC5562IUC#TRMPBF:2
C205,C215,C219,R310:!BOM:unknown:4
L202,L208,L302,L304:100 nH:0603CS-R10XJLU:4
U101,U104,U201,U202,U300,U304:unknown:ERA-2SM+:6
R202,R203,R300,R301,R307,R309:110 R:CRCW1206110RFKEA:6
FL300,FL301:45 MHz:ECS-75SMF45A7.5B:2
C328,C329:20 pF:GCM1555C1H200JA16D:2
L301,L303,L305,L306,L308:390 nH:0805CS-391XJLB:5
C317,C321,C322,C323:30 pF:GCM1555C1H300JA16D:4
U301,U305:unknown:AD8307ARZ:2
L300:82 nH:0805CS-820XJLB:1
C306:4.7 pF:GCM1555C1H4R7CA16D:1
C318:47 pF:GCM1555C1H470JA16D:1
L307:680 nH:0805CS-681XJLB:1
C308:5 pF:GCM1555C1H5R0CA16D:1
C331:39 pF:GCM1555C1H390JA16D:1
R302,R308:4.7 R:CRCW04024R70JNED:2
C309,C320,C325,C326,C327,C332,R304,R305:SAT:unknown:8
U203,U307:unknown:ADF4355-2BCPZ:2
R103,R212,R314:1500 R:CRCW04021K50FKED:3
R316:1000 R1 K:CRCW04021K00FKEDC:1
R217,R317:4.7 K:CRCW04024K70JNEDC:2
C115,C232,C345:.056 uF:GRM31C5C1H563JA01L:3
C114,C230,C343:3300 pF:885012006016:3
C113,C231,C344:1500 pF:885012007041:3
C109,C116,C118,C120,C233,C235,C237,C346,C348,C350:10 pF:885012005055:10
C112,C124,C202,C207,C210,C211,C217,C228,C229,C341,C342:22 pF:885012005057:11
U302,U306:unknown:AD8605ARTZ-R2:2
C100,C101,C102,C103,C104,C105,C106,C111,C117,C119,C121,C122,C125,C200,C206,C220,C221,C222,C223,C224,C225,C234,C236,C238,C302,C305,C307,C310,C312,C313,C314,C315,C330,C333,C334,C335,C336,C337,C338,C347,C349,C351:0.1 uF:885012205037:42
C107,C108,C226,C227,C339,C340:1 nF:885012006029:6
T201,T300:unknown:WBC9-1LB:2
J400:unknown:1528-1074-ND:1
R107,R108,R215,R216,R318,R319,R400:1.5 K:CRCW04021K50FKEDC:7
R100,R101,R102,R106,R110,R111,R112,R210,R211,R213,R214,R306,R311,R312,R313,R315,R401:1 K:CRCW04021K00FKEDC:17
J401,J402,Sh401,Sh402,Sh403,Sh404,Sh405:unknown:unknown:7
U901:60 MHz:ASV-60.000MHZ-E-T:1
C201,C203,C204,C208,C209,C212,C300,C301,C303,C304,C311,C316,C319,C324,C901,C902:0.01 uF:885012205031:16
U902:100 MHz:ASV-100.000MHZ-EC-T:1
R901,R902:150 K:CRCW0402150KJNED:2
